Seed,Sample Size,True Effect,Effect Estimate,Cross Moment Effect Estimate,GRICA Effect Estimate,Error,Cross Moment Error,GRICA Error
0,10,-0.5561403121650581,-0.735248150069015,-1.2683800016347744,-1.210663914680481,0.3220551252734923,1.280683442451712,1.1769037205149864
0,1000,-0.5561403121650581,0.16348129994817406,-0.5520096403448495,-1.0290400981903076,1.2939569320406576,0.007427391487101374,0.850324595575975
0,100000,-0.5561403121650581,0.34835881000304963,-0.4010317674269301,-1.1488860845565796,1.626386547392845,0.27890181910081174,1.0658205482065453
0,10000000,-0.5561403121650581,-0.7779462589873208,-0.41302701572133393,-1.1488860845565796,0.39883091006075544,0.2573330746095048,1.0658205482065453
1,10,0.8756511157694503,-0.19798170305531976,3.6013996324554625,0.7012159824371338,1.2260965577384662,3.11282480841796,0.19920620232298483
1,1000,0.8756511157694503,0.21178451441775706,-3.8083869534361767,0.8162979483604431,0.7581405303964488,5.34920584791316,0.0677817527324824
1,100000,0.8756511157694503,-0.36788865883035443,305.3908933645013,0.7612598538398743,1.420131548061906,347.7586412724991,0.13063566056106535
1,10000000,0.8756511157694503,0.5413372730171621,71.60994519415325,0.7612598538398743,0.38178886171865456,80.77908290704148,0.13063566056106535
2,10,0.5707938494671746,1.8504715816510737,1.0201642309689813,1.5210455656051636,2.2419262810530536,0.7872726412894702,1.6647896907526794
2,1000,0.5707938494671746,0.5680054319013823,3.790584381210376,0.551795244216919,0.004885156993887066,5.640899135035908,0.03328453042721202
2,100000,0.5707938494671746,0.5556867356588213,-173.3784197728845,0.5291367173194885,0.026466847571072268,304.749628582596,0.07298104593553736
2,10000000,0.5707938494671746,0.5707316731365158,-27.105962199779775,0.5291367173194885,0.00010892957363991912,48.488181985637524,0.07298104593553736
3,10,0.6609442574235832,0.6005752158411917,1.1334190424483277,1.2114872932434082,0.09133756879546118,0.7148481580980691,0.8329643984893499
3,1000,0.6609442574235832,-0.6047517424043559,0.6597771753767512,0.6496444344520569,1.914981461162443,0.0017657798425867396,0.01709648407503227
3,100000,0.6609442574235832,-0.23486771420785,0.670400238217365,0.6560817360877991,1.3553517737235274,0.014306775023119294,0.007356931059116319
3,10000000,0.6609442574235832,0.6588100371259719,0.6710358197276185,0.6560817360877991,0.0032290473419509177,0.015268401519022288,0.007356931059116319
4,10,-0.7575657068391233,0.14411418134392714,-1.042621272534955,-0.34608402848243713,1.1902332431931628,0.37627833879281736,0.5431630215596183
4,1000,-0.7575657068391233,-0.8100697807984552,-0.5588964633650493,-0.9452674388885498,0.06930629711104604,0.2622468806078935,0.24776957345732506
4,100000,-0.7575657068391233,0.0036774120942164074,-0.5075600148211056,-0.9881904125213623,1.0048542483655447,0.3300118917224284,0.3044286503470444
4,10000000,-0.7575657068391233,-0.7552385397767067,-0.6016643318346893,-0.9881904125213623,0.0030719012772191558,0.20579254524986207,0.3044286503470444
5,10,-0.7094701158399517,-0.07221245557183632,0.3327613927144021,-0.17984412610530853,0.8982163533606444,1.469028060921835,0.7465092297899136
5,1000,-0.7094701158399517,-2.8026105794341656,-0.7659164636231138,-0.3180249333381653,2.9502870055578243,0.07956127611708426,0.5517430174466883
5,100000,-0.7094701158399517,-0.9252656630201749,-0.6890164375138892,-0.5557523369789124,0.3041643930621938,0.02882951356146564,0.21666561484277697
5,10000000,-0.7094701158399517,0.13456838305441396,-0.6691669305434329,-0.5557523369789124,1.1896744909334152,0.056807446003279874,0.21666561484277697
6,10,0.8206883633844835,-0.7165340452275862,5.748573273105066,1.230366826057434,1.8730890764341177,6.004575097663377,0.49918882848960383
6,1000,0.8206883633844835,0.0023494770666928587,0.7052425323312087,0.5978114008903503,0.9971371873033466,0.14066951135651679,0.27157319688925297
6,100000,0.8206883633844835,0.821127050272807,0.8060523091117702,0.6429570317268372,0.0005345352851286522,0.017833875714229515,0.21656372819116132
6,10000000,0.8206883633844835,0.8218012781419104,0.8072201306162324,0.6429570317268372,0.001356074738086095,0.01641089769167511,0.21656372819116132
7,10,0.6050335080173588,4.532597851934627,0.14064022867877765,0.2665736973285675,6.491482359030905,0.7675496863972985,0.5594067207912072
7,1000,0.6050335080173588,0.033270759840309506,0.4318567540576688,-0.20015782117843628,0.9450100541549594,0.2862267158180624,1.3308210512742273
7,100000,0.6050335080173588,0.5710209679555399,1.472048606671283,-0.07506011426448822,0.05621596095276598,1.4330034405781193,1.1240594335187377
7,10000000,0.6050335080173588,0.6065845480880722,2.075896904301388,-0.07506011426448822,0.0025635606130245646,2.4310445236395557,1.1240594335187377
8,10,0.5215243137443097,0.9265953909020307,1.187394835643082,1.0631450414657593,0.7767060259367258,1.2767775237900638,1.038533992466922
8,1000,0.5215243137443097,0.5568585878935741,0.7853330978701409,0.8390332460403442,0.06775192108605675,0.5058417741481752,0.6088094532284858
8,100000,0.5215243137443097,0.5287680571501182,-0.5422042528000174,0.8309653401374817,0.01388956030410481,2.0396528762144093,0.5933395974801725
8,10000000,0.5215243137443097,0.5212270966625812,-0.8509620557577434,0.8309653401374817,0.0005699007196705746,2.631682422720082,0.5933395974801725
9,10,-0.7212222746086938,-0.23185128416978082,-1.1424042376892118,-1.642972469329834,0.678530056083509,0.5839835760882932,1.278039000142147
9,1000,-0.7212222746086938,-1.360034721957197,-0.7407010336482013,-0.9188600778579712,0.8857358817641859,0.027007983149266786,0.2740317516628389
9,100000,-0.7212222746086938,-0.787807873897392,-0.7192423222886661,-0.9438654184341431,0.09232327069324765,0.0027452733917597326,0.3087025341060722
9,10000000,-0.7212222746086938,-0.7480203814359748,-0.7222548199003153,-0.9438654184341431,0.03715651577985522,0.0014316602911102025,0.3087025341060722
10,10,0.7163523725109571,-2.8456479865942277,1.4910269622372168,1.3110336065292358,4.97241371117355,1.0814155427598735,0.8301518314705976
10,1000,0.7163523725109571,0.29210391563121496,0.24842629782379708,0.1409664750099182,0.5922343153449289,0.6532065679450273,0.8032162935179473
10,100000,0.7163523725109571,-0.23397260663544722,0.8265390601295984,0.28310495615005493,1.3266166423311014,0.15381632259053626,0.6047965121442734
10,10000000,0.7163523725109571,-0.13585871442831896,0.8182817516711196,0.28310495615005493,1.189653471729433,0.14228944172109023,0.6047965121442734
11,10,-0.8112412785229454,-1.2656233040140137,-0.3834406404742418,-0.6392983198165894,0.5601071315285844,0.5273408163199175,0.21195045575025276
11,1000,-0.8112412785229454,-0.6333481076319929,-0.7648194852592258,-0.9269793629646301,0.21928515671052715,0.05722316466469911,0.14266789364122723
11,100000,-0.8112412785229454,-0.8219271573584435,-0.8116730296103216,-1.00553297996521,0.01317225727832075,0.000532210451818178,0.2394992791737843
11,10000000,-0.8112412785229454,-0.8136469235438282,-0.80496538559102,-1.00553297996521,0.002965387837836417,0.007736160742895199,0.2394992791737843
12,10,0.8830914919397734,0.9359437346937638,0.5465718164988139,0.3739105761051178,0.05984911329843824,0.38107000068789026,0.5765890855954273
12,1000,0.8830914919397734,0.029103038107553495,0.6816784441906923,0.1153891384601593,0.9670441416623473,0.22807721463453687,0.8693350128346284
12,100000,0.8830914919397734,0.19624800959122926,1.2743111014538164,0.1391034722328186,0.7777715996785831,0.4430114128431939,0.8424812451456554
12,10000000,0.8830914919397734,0.8740734966428636,1.2719220137875233,0.1391034722328186,0.010211847106692378,0.44030604461340234,0.8424812451456554
13,10,-0.7457816402862483,-0.4163667764902125,-0.7141211707944061,-0.9610350728034973,0.4417041745216452,0.04245273385878765,0.28862795876099845
13,1000,-0.7457816402862483,0.3062345287834933,-0.9067496956462988,-0.862657368183136,1.4106222414726561,0.215838050529465,0.1567157483952382
13,100000,-0.7457816402862483,0.47269181263690946,-0.7452787949491116,-0.7594048380851746,1.633820661575256,0.0006742527704806762,0.01826700613559941
13,10000000,-0.7457816402862483,-0.7458215338656095,-0.7478431673224082,-0.7594048380851746,5.349230553043801e-05,0.0027642501836980782,0.01826700613559941
14,10,0.5906339012477964,0.5355486066932632,0.5357385717337985,0.2775343358516693,0.09326470159968434,0.09294307251585773,0.5301076770816247
14,1000,0.5906339012477964,-0.37978679104618274,0.6334774380499308,0.5847470760345459,1.6430155638608455,0.07253822835367484,0.009966961261136076
14,100000,0.5906339012477964,0.5818641484232404,0.5870401541365481,0.4996960163116455,0.014848034977383823,0.006084559493886107,0.15396658529764698
14,10000000,0.5906339012477964,0.5906139521490043,0.5908743195463916,0.4996960163116455,3.3775742892440585e-05,0.0004070513021472472,0.15396658529764698
15,10,-0.5466396337754452,0.07808201162353577,-0.5088808738714736,-0.35558223724365234,1.1428400115890813,0.06907431801676232,0.3495125210958955
15,1000,-0.5466396337754452,0.7495786940867537,-0.5039132448389495,-0.5405240654945374,2.3712483467575898,0.07816189368011933,0.01118756837785401
15,100000,-0.5466396337754452,-0.5236912934837311,-0.5420659651178411,-0.5120989084243774,0.04198074723052571,0.008366880802285434,0.06318737833279174
15,10000000,-0.5466396337754452,-0.5425044382906234,-0.543159924075485,-0.5120989084243774,0.007564756064724857,0.006365637405263022,0.06318737833279174
16,10,-0.6232592566216775,-0.3498603192472696,-0.07267742515799577,0.12194795161485672,0.43866005112598405,0.8833913425499086,1.1956616774147326
16,1000,-0.6232592566216775,-0.6570319950958784,-28.166677267992867,-0.48848840594291687,0.054187303462227124,44.192553449856305,0.21623561823898815
16,100000,-0.6232592566216775,-0.16798254988781514,-2.591517354886205,-0.5717505216598511,0.7304772482668771,3.1580086093438853,0.08264415556541432
16,10000000,-0.6232592566216775,-0.623709356181466,-3.128142822473461,-0.5717505216598511,0.0007221706777821486,4.019007402199346,0.08264415556541432
17,10,0.6511416235059146,1.3474410223214575,1.1112880571363999,1.3394242525100708,1.0693516950528934,0.7066764234068436,1.0570398269093362
17,1000,0.6511416235059146,0.6559088489833891,0.7637724518908164,0.9131653308868408,0.007321334261825349,0.17297439499946007,0.4024066315560091
17,100000,0.6511416235059146,0.647142716252619,0.7225280786235928,1.0769792795181274,0.006141378632446362,0.10963276273649203,0.6539862307056841
17,10000000,0.6511416235059146,0.6518735754318896,0.7298149123360057,1.0769792795181274,0.0011241055702044566,0.12082362114480373,0.6539862307056841
18,10,-0.656953205636707,-0.6270756810464184,5.432454959602668,-0.38515013456344604,0.04547892351226422,9.269165768568909,0.4137327723514712
18,1000,-0.656953205636707,-0.822186458407153,-0.7326238066253681,-0.698208212852478,0.2515144935023263,0.11518415670918679,0.06279748216737512
18,100000,-0.656953205636707,0.7235418594924351,-0.6654535395506922,-0.7391411066055298,2.101359812669141,0.01293902494279912,0.12510465016936445
18,10000000,-0.656953205636707,-0.6598739174519113,-0.6532077298953092,-0.7391411066055298,0.004445844529175495,0.005701282388549705,0.12510465016936445
19,10,-0.5726071646461707,-0.46893153533861415,-3.5582374866001247,0.1863279938697815,0.18105891038164093,5.214098785855841,1.3254028335201125
19,1000,-0.5726071646461707,-0.4497558195132779,-3.208468627680866,-0.5137373805046082,0.21454734190901348,4.603263154528401,0.10281007255286395
19,100000,-0.5726071646461707,-0.5679292033618005,-3.1752014469485847,-0.5174732208251953,0.00816958217290345,4.54516541704578,0.09628580853514836
19,10000000,-0.5726071646461707,-0.5758522896756572,-2.965138937982736,-0.5174732208251953,0.005667279820872891,4.178312674126205,0.09628580853514836
20,10,-0.6898097522700012,-0.11915529874299152,99.32722133654057,-0.033972129225730896,0.827263534110848,144.99219641310972,0.9507514512313915
20,1000,-0.6898097522700012,-1.1497630158899934,9.935121827904222,-0.6336237788200378,0.6667827790291374,15.402698418237899,0.08145140492007913
20,100000,-0.6898097522700012,-0.5416619252777319,-13.231471760656092,-0.5338567495346069,0.21476621127020848,18.181334733402128,0.22608117995170365
20,10000000,-0.6898097522700012,-0.7041771479027601,-12.828673458279313,-0.5338567495346069,0.02082805525071108,17.597408076738805,0.22608117995170365
21,10,0.6997907888419928,0.7797048759127483,0.7839634371790126,0.6893460750579834,0.11419711197256056,0.12028258970985883,0.014925480515816972
21,1000,0.6997907888419928,0.7495455087591874,0.7873963318436317,0.7301831245422363,0.07109942101342638,0.12518819109723886,0.043430602667029285
21,100000,0.6997907888419928,0.7000190842217053,0.6937797286893986,0.7394057512283325,0.00032623375922161715,0.008589796048246308,0.056609722531350035
21,10000000,0.6997907888419928,0.6996493372173673,0.6901547367096482,0.7394057512283325,0.00020213416192501536,0.013769904214215478,0.056609722531350035
22,10,-0.5001063117312737,0.8438020149284915,0.6644567218289641,-3.8541698455810547,2.6872452819229737,2.328630945545839,6.706701065696702
22,1000,-0.5001063117312737,-0.6228254539184989,-0.694204759263802,-0.5331252813339233,0.2453861095301809,0.38811437284323813,0.06602390097486305
22,100000,-0.5001063117312737,-0.5150391556830767,-0.4838624445998956,-0.5079207420349121,0.029859339107535462,0.032480828076624245,0.015625538251229608
22,10000000,-0.5001063117312737,-0.5006597604443233,-0.4694689196084316,-0.5079207420349121,0.001106662123766415,0.06126175855845777,0.015625538251229608
23,10,-0.6579763927696182,0.9887601648685025,-0.7988771325202669,-0.6291373372077942,2.5027289363779714,0.2141425456885401,0.04382992441481346
23,1000,-0.6579763927696182,-0.7379418581684635,-0.7604623522568607,-0.8773080706596375,0.12153242316528545,0.15575932603880913,0.3333427768841175
23,100000,-0.6579763927696182,-0.6899543413547509,-0.6879227891798594,-0.8356112837791443,0.04860044970690819,0.04551287362178442,0.2699715262759019
23,10000000,-0.6579763927696182,-0.6587659009530378,-0.6909735807068436,-0.8356112837791443,0.0011999035103620248,0.050149501258442454,0.2699715262759019
24,10,0.8823642101688611,1.1240506480618646,3.6713156821833843,4.696025848388672,0.27390779805852633,3.1607713004143627,4.322094656910412
24,1000,0.8823642101688611,0.914314597591137,0.9221092519459335,1.0938819646835327,0.03620997662196815,0.04504380540260834,0.2397170602309365
24,100000,0.8823642101688611,0.8850299113837732,0.8926313929320837,0.9851431846618652,0.0030210894596483105,0.011635991855628093,0.11648135011429683
24,10000000,0.8823642101688611,-0.21277572799797287,0.904167109280028,0.9851431846618652,1.2411427453038393,0.024709636746252824,0.11648135011429683
25,10,-0.8628513867747024,0.7681778716158257,-1.0282831142175148,-0.12676697969436646,1.8902783067745168,0.19172679093811087,0.853083646109424
25,1000,-0.8628513867747024,-1.0097133949566965,-0.6185599155338404,-0.9065830707550049,0.17020544955135014,0.28312114343816724,0.05068275331140097
25,100000,-0.8628513867747024,-0.8520370706162881,-0.8422475476473353,-0.9477970004081726,0.012533231474353573,0.023878780799534028,0.09844755995698504
25,10000000,-0.8628513867747024,-0.8644799149897019,-0.8482742613368959,-0.9477970004081726,0.001887379727216806,0.016894132247147614,0.09844755995698504
26,10,-0.842845796005405,-0.21180833223999077,-6.949241142650635,-0.9707162380218506,0.7486985955867158,7.2449733694893705,0.15171273633027124
26,1000,-0.842845796005405,-1.0119868556709948,-0.7401848033611051,-0.8700760006904602,0.20067853510952924,0.12180281746774176,0.03230745744252439
26,100000,-0.842845796005405,-0.8450985972720081,-0.8289872997086499,-0.8351783156394958,0.0026728510449717576,0.016442505096942065,0.009097133072560252
26,10000000,-0.842845796005405,-0.842197883038944,-0.8199009914047111,-0.8351783156394958,0.0007687206479900204,0.02722301601246497,0.009097133072560252
27,10,-0.5679248606262883,-0.5709082127537668,-0.8285661229444007,-0.5493342280387878,0.0052530754230207975,0.4589361734062601,0.03273431729507204
27,1000,-0.5679248606262883,-0.6829592611775713,-0.6460630519109112,-0.5080007314682007,0.20255214822683928,0.13758543902877343,0.1055141856125216
27,100000,-0.5679248606262883,-0.5522007164269486,-0.5834093110800747,-0.5575264096260071,0.02768701511323119,0.027264963250086635,0.018309554170272087
27,10000000,-0.5679248606262883,-0.5700245719112623,-0.5833614317914344,-0.5575264096260071,0.0036971638865368603,0.027180657575234766,0.018309554170272087
28,10,0.5646464601477078,2.4631684367385227,0.6949967920140477,0.9733967781066895,3.3623198064398987,0.2308530046079473,0.723904862260281
28,1000,0.5646464601477078,0.5302066146578484,0.6362865248006904,0.4114695191383362,0.06099364455565739,0.12687596524423794,0.27127937890428205
28,100000,0.5646464601477078,0.5546119475035942,0.575763675820919,0.45137539505958557,0.017771319493420056,0.019688807878655668,0.20060528681697795
28,10000000,0.5646464601477078,0.5655864614777578,0.5500415938789625,0.45137539505958557,0.0016647608661251728,0.025865505762534696,0.20060528681697795
29,10,0.6256854409252208,2.2090330962900673,0.7729813476695786,1.1770577430725098,2.53058094659115,0.23541526957467104,0.8812292345047334
29,1000,0.6256854409252208,-0.8813585845172996,-4.971324075069384,0.6965768337249756,2.408628884210582,8.945404751176772,0.11330196958862494
29,100000,0.6256854409252208,0.7251680147411559,-24.654868040554163,0.7120363712310791,0.1589977444078402,40.40457365301042,0.13801013202124127
29,10000000,0.6256854409252208,-0.5502359894116452,-26.176440444901058,0.7120363712310791,1.8794131258640026,42.83642247803166,0.13801013202124127
30,10,-0.5240246660679172,0.06831737083655721,1.9027120836992517,-0.7461380958557129,1.1303705250159022,4.630959011865764,0.4238606389551294
30,1000,-0.5240246660679172,-0.5340685080494533,-0.5472329328458293,-0.31788182258605957,0.01916673514035372,0.04428850067699704,0.3933838554369502
30,100000,-0.5240246660679172,-0.2734341477774456,-0.5533094798003135,-0.3870585560798645,0.4782036696303019,0.05588441848002784,0.2613734025457133
30,10000000,-0.5240246660679172,-0.5297547131753275,-0.5328231972376936,-0.3870585560798645,0.010934689678648954,0.016790299654780006,0.2613734025457133
31,10,-0.7076844809759584,-0.5489716315437044,-0.07292494861630741,-1.0052562952041626,0.22427063712542508,0.8969527373049957,0.4204865617765517
31,1000,-0.7076844809759584,-0.2568972664575432,-1.8894886385451184,-0.69475257396698,0.6369889783321806,1.669959126331765,0.01827354895665392
31,100000,-0.7076844809759584,-0.09331287264539774,-1.2070921435580042,-0.7364342212677002,0.8681433956037707,0.7056925452050599,0.04062508231365118
31,10000000,-0.7076844809759584,-0.11544671235198516,-1.168725770126327,-0.7364342212677002,0.836866971856195,0.6514785918642056,0.04062508231365118
32,10,0.6459952407072737,0.0373086796857363,6.96239464349377,0.045652031898498535,0.9422462003823922,9.777780089944518,0.929330699327574
32,1000,0.6459952407072737,-0.18497021370969008,-0.6501839173273207,0.0022824807092547417,1.2863337096836407,2.0064840673059154,0.9964667220972777
32,100000,0.6459952407072737,0.6335811112270161,-0.4578572239514194,0.11001168191432953,0.0192170602784408,1.7087625343030861,0.829702024129648
32,10000000,0.6459952407072737,-0.18519115315224388,-0.4771575168088044,0.11001168191432953,1.286675723724351,1.7386393687457886,0.829702024129648
